,Bird Species,Distance Bin,Time,Location Hash,Latitude,Longitude,Time Period,Group Name,Location,Habitat Type,Remarks
13,Swiftlet,,1039,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,Could not identify
14,Swallow,,1040,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,Could not identify
15,Collared kingfisher,2,1035,e454df284ef8c7b7afc4853b919fa478,1.292586,103.773483,1035,Asian Koel,"15 Kent Ridge Drive (Opp Hon Sui Sen Drive, facing Motchar Riady Building)",Urban,
16,Javan myna,3,1055,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
17,Javan myna,3,1055,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
18,Javan myna,2,1100,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
19,Yellow-vented bulbul,1,1056,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
20,Yellow-vented bulbul,1,1057,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
21,Yellow-vented bulbul,2,1101,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
22,Yellow-vented bulbul,1,1102,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
23,Yellow-vented bulbul,1,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
24,Rock pigeon,1,1056,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
25,Rock pigeon,1,1058,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
26,Rock pigeon,2,1059,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
27,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
28,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
29,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
30,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
31,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
32,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
33,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
34,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
35,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
36,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
37,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
38,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
39,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
40,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
41,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
42,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
43,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
44,Rock pigeon,4,1104,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
45,Rock pigeon,1,1105,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,"x7 of them (4 were greyish, 3 were darker brown/black in colour, unsure if same species/diff gender)"
46,Olive-backed sunbird,2,1057,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
47,Olive-backed sunbird,1,1102,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
48,,2,1103,c3cdc86e1b32aabe885864ba93fc4a30,1.294425,103.774844,1055,Asian Koel,3 Research Link (End of D1 Bus terminal),Urban,
49,Swiftlet,4,1129,99a28ba0f949ec725ec191010e892dc4,1.297395,103.774893,1126,Asian Koel,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,x2 of them (could not identify)
50,Cinnamon-headed green pigeon,3,1126,99a28ba0f949ec725ec191010e892dc4,1.297395,103.774893,1126,Asian Koel,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,x4 of them
51,Pink-necked green pigeon,2,1134,99a28ba0f949ec725ec191010e892dc4,1.297395,103.774893,1126,Asian Koel,12A Kent Ridge Road (200m North-East of Centre for Development of Teaching and Learning),Forest,Male
52,Rock pigeon,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
53,Rock pigeon,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
54,Javan myna,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
55,Javan myna,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
56,Javan myna,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
57,Javan myna,2,0925,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
58,Javan myna,2,0928,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
59,Olive-backed sunbird,1,0930,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
60,Javan myna,2,0930,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
61,Javan myna,3,0931,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
62,Olive-backed sunbird,2,0934,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
63,Yellow-vented bulbul,1,0935,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
64,Olive-backed sunbird,,0928,21b177c93a708f6669830bd644a5cf27,1.294444,103.781389,0925,Spotted Dove,NUS Medical Drive near NUS Graduate School for Intergrative Sciences and Engineering,Urban,
65,Yellow-vented bulbul,2,0925,32b5892d90f36151c667d2c142f9b327,1.3025,103.771389,0925,Spotted Dove,LKCNM,Urban,
66,Black-naped oriole,,0932,32b5892d90f36151c667d2c142f9b327,1.3025,103.771389,0925,Spotted Dove,LKCNM,Urban,
67,Yellow-vented bulbul,1,0944,1316e9822a214e120f2e77b2886fc959,1.303889,103.773611,0944,Spotted Dove,Town Green (Between Fine Food and Food Clique),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
68,Black-naped oriole,,0945,1316e9822a214e120f2e77b2886fc959,1.303889,103.773611,0944,Spotted Dove,Town Green (Between Fine Food and Food Clique),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
69,Javan myna,2,0947,1316e9822a214e120f2e77b2886fc959,1.303889,103.773611,0944,Spotted Dove,Town Green (Between Fine Food and Food Clique),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
70,Olive-backed sunbird,,0949,1316e9822a214e120f2e77b2886fc959,1.303889,103.773611,0944,Spotted Dove,Town Green (Between Fine Food and Food Clique),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
71,Yellow-vented bulbul,2,0952,1316e9822a214e120f2e77b2886fc959,1.303889,103.773611,0944,Spotted Dove,Town Green (Between Fine Food and Food Clique),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
72,Olive-backed sunbird,1,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
73,Olive-backed sunbird,1,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
74,Olive-backed sunbird,2,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
75,Olive-backed sunbird,2,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
76,Javan myna,2,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
77,Javan myna,2,0949,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
78,Javan myna,2,0953,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
79,Olive-backed sunbird,2,0953,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
80,Olive-backed sunbird,2,0953,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
81,Javan myna,2,0955,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
82,Olive-backed sunbird,2,0957,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
83,Olive-backed sunbird,2,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
84,Olive-backed sunbird,2,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
85,Olive-backed sunbird,2,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
86,Collared kingfisher,2,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
87,Collared kingfisher,2,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
88,Yellow-vented bulbul,,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
89,Javan myna,,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
90,Olive-backed sunbird,,0959,2e4ad791da33a5018e382d38a58607a0,1.296944,103.781944,0949,Spotted Dove,"11 Lower Kent Ridge Road,",Urban,
91,Javan myna,2,1000,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
92,Javan myna,2,1000,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
93,Javan myna,2,1000,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
94,Javan myna,2,1000,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
95,Yellow-vented bulbul,,1001,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
96,Javan myna,1,1005,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
97,Javan myna,1,1005,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
98,Yellow-vented bulbul,1,1009,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
99,Black-naped oriole,,1009,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1000,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
100,Javan myna,1,1011,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1011,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
101,Javan myna,1,1011,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1011,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
102,Yellow-vented bulbul,2,1019,4b097684c2cf55ae54e17d379fd34869,1.303889,103.773611,1011,Spotted Dove,Town Green (Near UTR),Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
103,Olive-backed sunbird,1,1021,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
104,Olive-backed sunbird,1,1021,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,Town Green data points were very close to one another - there might be potential recounting of bird species.
105,Olive-backed sunbird,1,1025,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,Female
106,Olive-backed sunbird,2,1025,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
107,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
108,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
109,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
110,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
111,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
112,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
113,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
114,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
115,Swiftlet,,1029,218a53e1e2b07f7d0c545a34cd0ef1d2,1.290278,103.780833,1021,Spotted Dove,31 Prince George's Park,Urban,
116,Javan myna,1,1047,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
117,Javan myna,1,1047,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
118,Olive-backed sunbird,2,1047,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
119,Olive-backed sunbird,2,1047,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
120,Rock pigeon,2,1047,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
121,Asian glossy starling,2,1048,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
122,Yellow-vented bulbul,2,1048,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
123,Eagle,,1049,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
124,Yellow-vented bulbul,2,1050,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
125,Yellow-vented bulbul,2,1050,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
126,Javan myna,2,1056,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
127,Javan myna,2,1056,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
128,Rock pigeon,3,1057,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
129,Olive-backed sunbird,2,1057,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
130,Javan myna,2,1057,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
131,Olive-backed sunbird,,1057,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
132,Yellow-vented bulbul,,1057,fc4b94abec17204d8fece671a9611982,1.293333,103.78,1047,Spotted Dove,King Edward VII Hall,Urban,
133,Yellow-vented bulbul,2,1123,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
134,Yellow-vented bulbul,2,1130,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
135,Olive-backed sunbird,2,1130,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
136,Eagle,,1131,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
137,Eagle,,1131,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
138,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
139,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
140,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
141,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
142,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
143,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
144,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
145,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
146,Swiftlet,,1132,58a31169928313a340b67ed8264615bb,1.295278,103.776944,1123,Spotted Dove,Kent Ridge Road,Urban,
147,Javan myna,1,0934,6f604ef33003ce0ee1c3f4c839f82cec,1.505556,104.299722,0933,Spotted Dove,Ridge View Residential College,Urban,
148,Javan myna,1,0934,6f604ef33003ce0ee1c3f4c839f82cec,1.505556,104.299722,0933,Spotted Dove,Ridge View Residential College,Urban,
149,Javan myna,,0939,6f604ef33003ce0ee1c3f4c839f82cec,1.505556,104.299722,0933,Spotted Dove,Ridge View Residential College,Urban,
150,Javan myna,,0939,6f604ef33003ce0ee1c3f4c839f82cec,1.505556,104.299722,0933,Spotted Dove,Ridge View Residential College,Urban,
151,Javan myna,1,0941,6f604ef33003ce0ee1c3f4c839f82cec,1.505556,104.299722,0933,Spotted Dove,Ridge View Residential College,Urban,
152,Brahminy kite,,1013,8246aa14acd6b5667f75c165932db4b7,1.508889,104.292778,1013,Spotted Dove,Runme Shaw Studios,Urban,Location is a construction site 
153,Brahminy kite,,1013,8246aa14acd6b5667f75c165932db4b7,1.508889,104.292778,1013,Spotted Dove,Runme Shaw Studios,Urban,Location is a construction site 
154,Brahminy kite,,1014,8246aa14acd6b5667f75c165932db4b7,1.508889,104.292778,1013,Spotted Dove,Runme Shaw Studios,Urban,Location is a construction site 
155,Flame-breasted sunbird,1,1022,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1022,Spotted Dove,Behind ERC,Urban,
156,Flame-breasted sunbird,1,1022,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1022,Spotted Dove,Behind ERC,Urban,
157,Yellow-vented bulbul,,1024,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1022,Spotted Dove,Behind ERC,Urban,
158,Javan myna,2,1025,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1022,Spotted Dove,Behind ERC,Urban,
159,Javan myna,2,1025,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1022,Spotted Dove,Behind ERC,Urban,
160,Yellow-vented bulbul,1,1035,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1033,Spotted Dove,Behind ERC,Urban,
161,Yellow-vented bulbul,1,1035,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1033,Spotted Dove,Behind ERC,Urban,
162,Javan myna,1,1037,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1033,Spotted Dove,Behind ERC,Urban,
163,Javan myna,1,1037,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1033,Spotted Dove,Behind ERC,Urban,
164,Black-naped oriole,,1038,3fba0b344afa39714a4618f9dc039265,1.304722,103.773333,1033,Spotted Dove,Behind ERC,Urban,
165,Javan myna,1,1039,d604cd8d34e50e40f02b33765af1d859,1.509167,104.284167,1039,Spotted Dove,Engineering Drive 2,Urban,Location is near rubbish collection point that is myna's feeding ground
