Bird Species,Distance Bin,Date,Time,Coordinates,Location,Habitat Type,Time Period,Group Name,Remarks
Olive-backed Sunbird,2,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,2,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,2,27th Feb,9:49,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,2,27th Feb,9:53,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:53,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:53,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,2,27th Feb,9:55,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:57,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Collared Kingfisher ,2,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Collared Kingfisher ,2,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Yellow-vented Bulbul,Heard,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,Heard,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Olive-backed Sunbird,Heard,27th Feb,9:59,"1°17'49""N 103°46'55""E","11 Lower Kent Ridge Road,",Urban,09:49-09:59,Spotted Dove,
Javan Myna,2,27th Feb,10:00,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,2,27th Feb,10:00,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,2,27th Feb,10:00,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,2,27th Feb,10:00,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Yellow-vented Bulbul,Heard,27th Feb,10:01,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,1,27th Feb,10:05,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,1,27th Feb,10:05,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Yellow-vented Bulbul,1,27th Feb,10:09,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Black-naped Oriole,Heard,27th Feb,10:09,"1°18'14""N 103°46'25""E",Town Green (Near UTR),Urban,10:00-10:10,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,1,27th Feb,10:11,"1°18'14""N 103°46'25""E",Town Green (Near Starbucks),Urban,10:11-10:21,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Javan Myna,1,27th Feb,10:11,"1°18'14""N 103°46'25""E",Town Green (Near Starbucks),Urban,10:11-10:21,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Yellow-vented Bulbul,2,27th Feb,10:19,"1°18'14""N 103°46'25""E",Town Green (Near Starbucks),Urban,10:11-10:21,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Olive-backed Sunbird,1,27th Feb,10:21,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Olive-backed Sunbird,1,27th Feb,10:21,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,Town Green data points were very close to one another - there might be potential recounting of bird species.
Olive-backed Sunbird,1,27th Feb,10:25,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,Female
Olive-backed Sunbird,2,27th Feb,10:25,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Swiftlet,In Flight,27th Feb,10:29,"1°17'25""N 103°46'51""E",31 Prince George's Park,Urban,10:21-10:31,Spotted Dove,
Javan Myna,1,27th Feb,10:47,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Javan Myna,1,27th Feb,10:47,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,10:47,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,10:47,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Rocked Pigeon,2,27th Feb,10:47,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Asian Glossy Starling,2,27th Feb,10:48,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,10:48,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Eagle,In Flight,27th Feb,10:49,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,10:50,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,10:50,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Javan Myna,2,27th Feb,10:56,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Javan Myna,2,27th Feb,10:56,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Rocked Pigeon,3,27th Feb,10:57,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,10:57,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Javan Myna,2,27th Feb,10:57,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Olive-backed Sunbird,Heard,27th Feb,10:57,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Yellow-vented Bulbul,Heard,27th Feb,10:57,"1°17'36""N 103°46'48""E",King Edward VII Hall,Urban,10:47-10:57,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,11:23,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Yellow-vented Bulbul,2,27th Feb,11:30,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Olive-backed Sunbird,2,27th Feb,11:30,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Eagle,In Flight,27th Feb,11:31,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Eagle,In Flight,27th Feb,11:31,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Swiftlet,In Flight,27th Feb,11:32,"1°17'43""N 103°46'37""E",Kent Ridge Road,Urban,11:23-11:32,Spotted Dove,
Javan Myna,1,27th Feb,9:34,"1°29'80""N,103°77'59""E",Ridge View Residential College,Urban,09.33-09.43,Spotted Dove,
Javan Myna,1,27th Feb,9:34,"1°29'80""N,103°77'59""E",Ridge View Residential College,Urban,09.33-09.43,Spotted Dove,
Javan Myna,In Flight,27th Feb,9:39,"1°29'80""N,103°77'59""E",Ridge View Residential College,Urban,09.33-09.43,Spotted Dove,
Javan Myna,In Flight,27th Feb,9:39,"1°29'80""N,103°77'59""E",Ridge View Residential College,Urban,09.33-09.43,Spotted Dove,
Javan Myna,1,27th Feb,9:41,"1°29'80""N,103°77'59""E",Ridge View Residential College,Urban,09.33-09.43,Spotted Dove,
Brahminy Kite ,In Flight,27th Feb,10:13,"1°29'92""N,103°77'34""E",Runme Shaw Studios,Urban,10.13-10.23,Spotted Dove,Location is a construction site 
Brahminy Kite ,In Flight,27th Feb,10:13,"1°29'92""N,103°77'34""E",Runme Shaw Studios,Urban,10.13-10.23,Spotted Dove,Location is a construction site 
Brahminy Kite ,In Flight,27th Feb,10:14,"1°29'92""N,103°77'34""E",Runme Shaw Studios,Urban,10.13-10.23,Spotted Dove,Location is a construction site 
Flame-breasted sunbird,1,27th Feb,10:22,"1°18'17""N 103°46'24""E",Behind ERC,Urban,10:22-10:32,Spotted Dove,
Flame-breasted sunbird,1,27th Feb,10:22,"1°18'17""N 103°46'24""E",Behind ERC,Urban,10:22-10:32,Spotted Dove,
Yellow-vented Bulbul,Heard,27th Feb,10:24,"1°18'17""N 103°46'24""E",Behind ERC,Urban,10:22-10:32,Spotted Dove,
Javan Myna,2,27th Feb,10:25,"1°18'17""N 103°46'24""E",Behind ERC,Urban,10:22-10:32,Spotted Dove,
Javan Myna,2,27th Feb,10:25,"1°18'17""N 103°46'24""E",Behind ERC,Urban,10:22-10:32,Spotted Dove,
Yellow-vented Bulbul,1,27th Feb,10:35,"1°18'17""N 103°46'24""E",Cinnamon College,Urban,10:33-10:43,Spotted Dove,
Yellow-vented Bulbul,1,27th Feb,10:35,"1°18'17""N 103°46'24""E",Cinnamon College,Urban,10:33-10:43,Spotted Dove,
